ticker,period,dual_agent,put,advantage,market_return
SPY,Bull Market 2023-24 (S&P 500),2.977021484375,-7.0,9.977021484375,55.368893
QQQ,Tech Bull 2023-24 (Nasdaq),-0.042216796875000004,-7.0,6.957783203125,74.70905
DIA,Industrial Bull 2023-24 (Dow Jones),1.653662109375,-7.0,8.653662109375,37.878643
IWM,Small Cap Bull 2023-24 (Russell 2000),-8.2087109375,-7.0,-1.2087109374999994,30.524115
NVDA,AI Bull Run (NVIDIA),5.43677734375,-7.0,12.43677734375,467.80008
META,Social Media Bull (Meta),-0.5974902343749999,-7.0,6.402509765625,200.1256
MSFT,Tech Bull (Microsoft),-5.94669921875,-7.0,1.05330078125,62.26761
GOOGL,Tech Bull (Google),0.18779296875,-7.0,7.18779296875,99.70165
AMZN,E-commerce Bull (Amazon),0.1088671875,-7.0,7.1088671875,130.04158
AAPL,Tech Bull (Apple),4.54060546875,-7.0,11.54060546875,66.32694
TSLA,EV Bull (Tesla),9.162695312499999,-7.0,16.1626953125,131.31616
SHOP,E-commerce Bull (Shopify),-11.812998046875,-7.0,-4.812998046875,145.03905
UBER,Ride-sharing Bull (Uber),4.052666015624999,-7.0,11.052666015625,90.08446
SNOW,Cloud Bull (Snowflake),-11.2848046875,-7.0,-4.284804687499999,11.025934
CRM,SaaS Bull (Salesforce),6.092314453125,-7.0,13.092314453124999,84.57998
ADBE,Software Bull (Adobe),0.778408203125,-7.0,7.778408203125,33.62909
NFLX,Streaming Bull (Netflix),-6.6066796875,-7.0,0.3933203125000002,196.39883
